"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","chosen","overall","Horizon","tau","lambda","kError","beta"
"1",1,1,3,8,22.3060524165521,0.18,"Rough","Avg. Reward Condition",20,"1",5,92,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"2",1,2,4,8,26.7884131149628,0.4,"Rough","Avg. Reward Condition",20,"1",5,93,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"3",1,3,8,7,100,0.4,"Rough","Avg. Reward Condition",20,"1",5,86,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"4",1,4,9,7,82.2639339178051,0.46,"Rough","Avg. Reward Condition",20,"1",5,87,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"5",1,5,9,6,62.6880904214702,0.46,"Rough","Avg. Reward Condition",20,"1",5,76,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"6",1,6,7,6,95.8234728185907,0.49,"Rough","Avg. Reward Condition",20,"1",5,74,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"7",1,7,6,2,51.6560216281502,0.49,"Rough","Avg. Reward Condition",20,"1",5,29,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"8",1,8,6,3,31.2645262268698,0.49,"Rough","Avg. Reward Condition",20,"1",5,40,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"9",1,9,7,3,38.4994048862077,0.49,"Rough","Avg. Reward Condition",20,"1",5,41,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"10",1,10,10,7,69.0054960754502,0.49,"Rough","Avg. Reward Condition",20,"1",5,88,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"11",1,11,0,3,37.5224299882295,0.49,"Rough","Avg. Reward Condition",20,"1",5,34,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"12",1,12,1,3,44.7929276438267,0.49,"Rough","Avg. Reward Condition",20,"1",5,35,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
"13",1,13,4,0,48.9349746000449,0.49,"Rough","Avg. Reward Condition",20,"1",5,5,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307
