"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","chosen","overall","Horizon","tau","lambda","beta"
"1",1,1,8,8,82.5602297507619,0.18,"Rough","Avg. Reward Condition",20,"1",5,97,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"2",1,2,8,9,65.659951662905,0.4,"Rough","Avg. Reward Condition",20,"1",5,108,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"3",1,3,7,8,38.3612104416698,0.4,"Rough","Avg. Reward Condition",20,"1",5,96,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"4",1,4,10,4,27.5747046618376,0.46,"Rough","Avg. Reward Condition",20,"1",5,55,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"5",1,5,10,7,69.0054960754502,0.46,"Rough","Avg. Reward Condition",20,"1",5,88,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"6",1,6,9,7,82.2639339178051,0.49,"Rough","Avg. Reward Condition",20,"1",5,87,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"7",1,7,3,0,47.8459154961646,0.49,"Rough","Avg. Reward Condition",20,"1",5,4,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"8",1,8,5,5,35.9893886726837,0.49,"Rough","Avg. Reward Condition",20,"1",5,61,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"9",1,9,7,4,41.506316602299,0.49,"Rough","Avg. Reward Condition",20,"1",5,52,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"10",1,10,7,9,57.3102242672527,0.49,"Rough","Avg. Reward Condition",20,"1",5,107,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"11",1,11,6,8,31.779943763312,0.49,"Rough","Avg. Reward Condition",20,"1",5,95,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"12",1,12,8,7,100,0.49,"Rough","Avg. Reward Condition",20,"1",5,86,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"13",1,13,8,6,91.4722545331952,0.49,"Rough","Avg. Reward Condition",20,"1",5,75,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"14",1,14,8,5,25.922745926598,0.49,"Rough","Avg. Reward Condition",20,"1",5,64,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"15",1,15,0,8,60.0699780954412,0.49,"Rough","Avg. Reward Condition",20,"1",5,89,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"16",1,16,0,0,76.5662850402658,0.49,"Rough","Avg. Reward Condition",20,"1",5,1,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"17",1,17,0,5,47.6003789921814,0.49,"Rough","Avg. Reward Condition",20,"1",5,56,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"18",1,18,0,6,27.6444637033922,0.49,"Rough","Avg. Reward Condition",20,"1",5,67,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"19",1,19,10,2,22.4366254461022,0.49,"Rough","Avg. Reward Condition",20,"1",5,33,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"20",1,20,9,3,37.6653431839329,0.49,"Rough","Avg. Reward Condition",20,"1",5,43,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"21",1,21,2,0,77.0544773481124,0.49,"Rough","Avg. Reward Condition",20,"1",5,3,1,"Short",0.11002725128833,0.826227617490667,0.429777361373842
"22",1,1,6,8,41.6897572985855,0.26,"Rough","Avg. Reward Condition",40,"2",1,95,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"23",1,2,10,8,40.6942172697369,0.26,"Rough","Avg. Reward Condition",40,"2",1,99,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"24",1,3,10,9,47.3705703671906,0.32,"Rough","Avg. Reward Condition",40,"2",1,110,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"25",1,4,9,9,58.8980343444626,0.47,"Rough","Avg. Reward Condition",40,"2",1,109,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"26",1,5,7,9,43.2219300321384,0.47,"Rough","Avg. Reward Condition",40,"2",1,107,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"27",1,6,7,7,63.4190187757228,0.47,"Rough","Avg. Reward Condition",40,"2",1,85,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"28",1,7,6,3,82.7136870116885,0.47,"Rough","Avg. Reward Condition",40,"2",1,40,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"29",1,8,6,2,72.3100865487056,0.47,"Rough","Avg. Reward Condition",40,"2",1,29,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"30",1,9,7,4,77.4616893062404,0.47,"Rough","Avg. Reward Condition",40,"2",1,52,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"31",1,10,6,4,96.8351832239486,0.47,"Rough","Avg. Reward Condition",40,"2",1,51,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
"32",1,11,5,4,93.0511729954542,0.47,"Rough","Avg. Reward Condition",40,"2",1,50,2,"Long",0.105333161041498,0.724187194805518,0.45969337338402
