"","id","trial","x","y","z","zmax","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,6,6,47.44,47.44,"Avg. Reward Condition",20,"1",6,NA,73,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"2",1,2,4,4,25.64,47.44,"Avg. Reward Condition",20,"1",6,10,49,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"3",1,3,7,9,52.56,52.56,"Avg. Reward Condition",20,"1",6,8,107,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"4",1,4,0,2,19.23,52.56,"Avg. Reward Condition",20,"1",6,5,23,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"5",1,5,9,8,34.62,52.56,"Avg. Reward Condition",20,"1",6,1,98,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"6",1,6,9,4,50,52.56,"Avg. Reward Condition",20,"1",6,2,54,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"7",1,7,0,7,38.46,52.56,"Avg. Reward Condition",20,"1",6,2,78,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"8",1,8,6,10,41.03,52.56,"Avg. Reward Condition",20,"1",6,1,117,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"9",1,9,8,5,28.21,52.56,"Avg. Reward Condition",20,"1",6,7,64,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"10",1,10,9,2,16.67,52.56,"Avg. Reward Condition",20,"1",6,11,32,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
"11",1,11,4,0,71.79,71.79,"Avg. Reward Condition",20,"1",6,2,5,1,"Short",0.00674021568049332,1.04408216985436,NA,0.150354958657884,"GP"
