"","id","trial","x","y","z","zmax","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,NA,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"2",1,2,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,10,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"3",1,3,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,8,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"4",1,4,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,5,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"5",1,5,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,1,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"6",1,6,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,2,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"7",1,7,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,2,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"8",1,8,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,1,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"9",1,9,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,7,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"10",1,10,1,9,29.49,83.33,"Avg. Reward Condition",20,"1",6,11,101,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"11",1,11,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,2,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"12",1,12,3,9,41.03,83.33,"Avg. Reward Condition",20,"1",6,0,103,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"13",1,13,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"14",1,14,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"15",1,15,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"16",1,16,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"17",1,17,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"18",1,18,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"19",1,19,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"20",1,20,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"21",1,21,2,9,83.33,83.33,"Avg. Reward Condition",20,"1",6,0,102,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505,"localGP"
"22",1,1,1,7,64.86,64.86,"Avg. Reward Condition",40,"2",10,NA,79,2,"Long",0.0353837147570463,0.97737229125842,NA,0.0376057153012928,"localGP"
