"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,4,8,26.7884131149628,26.7884131149628,"Rough","Avg. Reward Condition",20,"1",5,NA,93,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"2",1,2,3,1,36.8335295517252,36.8335295517252,"Rough","Avg. Reward Condition",20,"1",5,2,15,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"3",1,3,0,0,76.5662850402658,76.5662850402658,"Rough","Avg. Reward Condition",20,"1",5,2,1,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"4",1,4,3,8,22.3060524165521,76.5662850402658,"Rough","Avg. Reward Condition",20,"1",5,3,92,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"5",1,5,10,10,39.9849441782749,76.5662850402658,"Rough","Avg. Reward Condition",20,"1",5,4,121,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"6",1,6,9,7,82.2639339178051,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,7,87,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"7",1,7,9,8,81.2433897221898,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,1,98,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"8",1,8,10,9,41.8320807113766,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,1,110,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"9",1,9,9,9,52.4834712967987,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,1,109,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"10",1,10,7,7,68.4962011684434,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,85,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"11",1,11,0,6,27.6444637033922,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,67,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"12",1,12,3,4,13.4107101100565,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,48,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"13",1,13,5,4,54.3126092330093,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,4,50,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"14",1,14,6,0,63.3442305024088,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,6,7,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"15",1,15,6,1,87.877786509451,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,6,18,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
"16",1,16,10,4,27.5747046618376,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,8,55,1,"Short",0.208792822836484,NA,0.00673816045363542,0.325763490708307,"localBMT"
